utc,tweetid,user,text
2020-05-06T02:11:49.000Z,1257855558956146688,MIWMIWMIW88RT,@llln0852 @tBMvr9uJ6WAi8Wm 大賛成‼️ab◯友大嘘タヌキが再選されたら東京が死ぬ＝日本が死ぬ‼️残り2ヶ月で落選させる動き=リアルでも訴え拡散を‼️総裁、#miwch メンバー私達は下記動画でも小池叩き中#緊急事態宣言 #小池百合子 #JRP #実践実学大学https://t.co/XefrNCf46rhttps://t.co/qbeD3EfMOjhttps://t.co/MBthbt0NQl
2020-05-06T02:08:42.000Z,1257854775107805184,IzO4Sk1eVdJdHQ1,RT @sakiaoi11 : 次の東京都知事に相応しいのは誰だと思いますか⁉️今回はこの4名です☺️#アンケート調査 #拡散希望 #相互フォロー#東京都知事 #選挙へいこう #政治 #野党統一 #野党共闘　#拡散希望RTお願いします#小池百合子 #桜井誠 #前川喜平 #山本太郎
2020-05-06T02:08:12.000Z,1257854648548917250,GENNKI_Robust,RT @bunshun_online : 北海道鈴木、愛知大村は○、宮城△、埼玉、石川×、小池都政は？　政治学者・御厨貴「知事たちの通信簿　東日本編」 #新型コロナ #鈴木直道 #小池百合子 #大村秀章 #御厨貴 #文春オンラインhttps://t.co/o4QZijWCGY
2020-05-06T02:07:00.000Z,1257854347699818496,ppNUbx1NQSeH8py,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T02:02:36.000Z,1257853238054805504,koutaro32456677,RT @tBMvr9uJ6WAi8Wm : #緊急事態宣言 #小池百合子 #落選させよう 拡散希望！緊急事態宣言の延長は都民が悪い？？？東京を衰退させる小池都知事の黒幕は一体ダレ？都知事選でこの人を再選させてはいけない！東京が死にます‼️#jrptv #実践実学大学 #美しい色気 #miwCH https://t.co/EHhNjbVcQ7
2020-05-06T02:01:56.000Z,1257853069489958913,koutaro32456677,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T01:56:49.000Z,1257851781448470528,sirorororoo,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T01:54:54.000Z,1257851302710702080,deilamp,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T01:53:47.000Z,1257851017791561728,andos27e,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T01:53:12.000Z,1257850872748359681,yuhayasakurumi,大村知事○に賛同する愛知県人て、県民の１％もいないと思う。北海道鈴木、愛知大村は○、宮城△、石川、千葉、神奈川×、小池都政は？　政治学者・御厨貴「知事たちの通信簿　東日本編」 #新型コロナ #鈴木直道 #小池百合子 #大村秀章 #御厨貴 #文春オンライン https://t.co/3F38wdNeQS
2020-05-06T01:52:26.000Z,1257850682037563393,JCC_NEWS,5/06 10:29 TBS #ひるおび 東京都・協力金追加支給・財政より「大量廃業防げ」東京都が協力金を追加支給する方針を決めたのは5日当日、 #小池百合子 都知事が会見する約7時間前だった。新たな支給に踏み切るかどうか都庁内では議論が続いた。都幹部らが..https://t.co/4JgRCcP6541476
2020-05-06T01:52:13.000Z,1257850626135867392,loveginchan103,RT @tBMvr9uJ6WAi8Wm : #緊急事態宣言 #小池百合子 #落選させよう 拡散希望！緊急事態宣言の延長は都民が悪い？？？東京を衰退させる小池都知事の黒幕は一体ダレ？都知事選でこの人を再選させてはいけない！東京が死にます‼️#jrptv #実践実学大学 #美しい色気 #miwCH https://t.co/EHhNjbVcQ7
2020-05-06T01:51:41.000Z,1257850490773098496,marlion83,RT @ISOKO_MOCHIZUKI : #小池百合子 都知事は #ネットカフェ難民 の宿泊対策に12億円と威勢よく発表してたが、実態がこれとは。酷い。都、ネットカフェ難民のホテル提供出し惜しみ、消えた3349人#東京チャレンジネット を通じてホテルに入れる人は「3か月後に自立する見通しがつく人に限られる」 https://t.co/MPxIXRplVA
2020-05-06T01:51:01.000Z,1257850323382624258,yoytg,RT @UpwoU_oO : #新宿 #歌舞伎町 #コンカフェ #メイド#コンカフェGP #職業かわちい #小池百合子 #みいめろ一家ネギ https://t.co/Vfkz30tsYq
2020-05-06T01:50:54.000Z,1257850295087849472,Mipooo1223,RT @t_rocks08 : 私はコロナ関連のコールセンターで仕事をしています。しかしとても【密】です。人の距離も空気の入れ替えも行われていません。政府からの指導や都からの指導も入ってません。何とかして欲しいです。助けてください。#コロナ#小池百合子#小池都知事 #小池さん#3密#拡散希望RTお願いします
2020-05-06T01:50:35.000Z,1257850213097590784,kaisyunmisuzu,写メ日記更新しました！#小池百合子#ジャパネットたかたhttps://t.co/TW3D4iA8Ku
2020-05-06T01:50:25.000Z,1257850173029412865,_yuko_hh,RT @BeAllLight : おそらく普通の人たちは、三人の活動も基金のことも知らない人が多いかと思うので、こういった記事は本当にありがたいです。#北日本新聞#小池百合子#新しい地図 #稲垣吾郎#草彅剛#香取慎吾#ななにー https://t.co/ZhmRRBYB7p
2020-05-06T01:50:01.000Z,1257850070537367553,crimson_owl,大村はよくやっている。：北海道鈴木、愛知大村は○、宮城△、石川、千葉、神奈川×、小池都政は？　政治学者・御厨貴「知事たちの通信簿　東日本編」 #新型コロナ #鈴木直道 #小池百合子 #大村秀章 #御厨貴 #文春オンライン https://t.co/vhwfORtBHs
2020-05-06T01:49:35.000Z,1257849964329267201,Mahha_Kick,RT @mei2dx : 東京はこんくらいやらないと駄目。#密です #ソーシャルディスタンス  #小池百合子 https://t.co/tu1kyBvIIV
2020-05-06T01:49:18.000Z,1257849893231591425,tkfm_k,RT @tBMvr9uJ6WAi8Wm : #緊急事態宣言 #小池百合子 #落選させよう 拡散希望！緊急事態宣言の延長は都民が悪い？？？東京を衰退させる小池都知事の黒幕は一体ダレ？都知事選でこの人を再選させてはいけない！東京が死にます‼️#jrptv #実践実学大学 #美しい色気 #miwCH https://t.co/EHhNjbVcQ7
2020-05-06T01:49:12.000Z,1257849865335271424,megu_5111,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T01:48:18.000Z,1257849641871134720,Mahha_Kick,RT @RisaO_NO1 : みんなで三密避けてやろーぜ✨🤟卍#密です　#小池百合子　#ソーシャルディスタンス　#この音源作った人最高 https://t.co/GFl3qGpPAp
2020-05-06T01:48:15.000Z,1257849628361240576,D9iN3pladKREnUg,北海道鈴木、愛知大村は○、宮城△、石川、千葉、神奈川×、小池都政は？　政治学者・御厨貴「知事たちの通信簿　東日本編」 #新型コロナ #鈴木直道 #小池百合子 #大村秀章 #御厨貴 #文春オンライン https://t.co/Lmoo1LRFa9
2020-05-06T01:47:51.000Z,1257849528402587648,tsukijiusagi,#責任転嫁 #小池百合子 https://t.co/k1kiYO7A5H
